Position,house info,date,total price,price/m2
都市水乡,2室2厅 · 95平米 · 南北,2019-08-22,258,27211
都市水乡,2室2厅 · 94平米 · 南,2019-08-18,252,26809
都市水乡,3室2厅 · 102平米 · 南,2019-08-14,285,27941
都市水乡,2室2厅 · 95平米 · 南,2019-08-14,260,27368
都市水乡,2室2厅 · 95平米 · 南北,2019-08-14,271,28526
都市水乡,2室2厅 · 86平米 · 南,2019-08-08,265,30814
都市水乡,2室2厅 · 94平米 · 南,2019-08-07,245,26064
都市水乡,2室2厅 · 79平米 · 南,2019-08-06,250,31646
都市水乡,2室2厅 · 85平米 · 南,2019-07-31,261,30706
都市水乡,2室2厅 · 100平米 · 南北,2019-07-24,285,28500
都市水乡,2室2厅 · 87平米 · 南北,2019-07-21,251,28851
都市水乡,2室2厅 · 81平米 · 南北,2019-07-20,258,31852
都市水乡,2室2厅 · 97平米 · 南,2019-07-19,280,28866
都市水乡,2室2厅 · 79平米 · 南,2019-07-18,247,31266
都市水乡,2室2厅 · 91平米 · 南,2019-07-16,251,27582
都市水乡,1室2厅 · 60平米 · 南北,2019-07-12,185,30833
都市水乡,2室2厅 · 69平米 · 南北,2019-07-05,240,34783
都市水乡,3室1厅 · 88平米 · 南,2019-06-26,253,28750
都市水乡,2室2厅 · 97平米 · 南北,2019-06-19,266,27423
都市水乡,3室2厅 · 100平米 · 南,2019-06-16,290,29000
都市水乡,2室2厅 · 69平米 · 南北,2019-06-14,220,31884
都市水乡,2室2厅 · 88平米 · 南北,2019-06-11,259,29432
都市水乡,2室2厅 · 96平米 · 南,2019-06-06,260,27083
都市水乡,2室2厅 · 97平米 · 南,2019-06-02,245,25258
都市水乡,3室2厅 · 99平米 · 南,2019-05-31,312,31566
都市水乡,2室2厅 · 87平米 · 南北,2019-05-25,262,30115
都市水乡,2室2厅 · 75平米 · 南北,2019-05-25,236,31467
都市水乡,2室2厅 · 95平米 · 南北,2019-05-24,284,29947
都市水乡,3室2厅 · 96平米 · 南,2019-05-20,288,30000
都市水乡,2室2厅 · 97平米 · 南,2019-05-19,272,28041
都市水乡,3室2厅 · 92平米 · 南北,2019-05-19,290,31522
都市水乡,2室2厅 · 91平米 · 南北,2019-05-15,250,27473
都市水乡,2室2厅 · 79平米 · 南,2019-05-13,231,29241
都市水乡,2室2厅 · 99平米 · 南北,2019-05-13,286,28889
