Position,house info,date,total price,price/m2
都市水乡,2室2厅 · 91平米 · 南北,2019-05-12,293,32198
都市水乡,2室2厅 · 92平米 · 南,2019-05-10,278,30272
都市水乡,2室2厅 · 80平米 · 南北,2019-05-06,250,31250
都市水乡,2室2厅 · 80平米 · 南,2019-05-06,248,31000
都市水乡,3室1厅 · 98平米 · 南,2019-04-30,265,27041
都市水乡,2室2厅 · 68平米 · 南,2019-04-27,237,34853
都市水乡,2室2厅 · 80平米 · 南北,2019-04-12,255,31975
都市水乡,2室2厅 · 85平米 · 南北,2019-04-11,254,29976
都市水乡,2室2厅 · 69平米 · 南北,2019-04-09,200,28986
都市水乡,2室2厅 · 79平米 · 西,2019-04-05,270,34177
都市水乡,2室2厅 · 70平米 · 南,2019-04-05,234,33500
都市水乡,2室2厅 · 69平米 · 南北,2019-04-02,233,33768
都市水乡,2室2厅 · 70平米 · 南北,2019-04-02,190,27143
都市水乡,2室2厅 · 90平米 · 南,2019-03-30,255,28333
都市水乡,2室2厅 · 69平米 · 南,2019-03-30,249,36203
都市水乡,2室2厅 · 80平米 · 南北,2019-03-29,257,32125
都市水乡,2室2厅 · 83平米 · 南,2019-03-29,203,24458
都市水乡,2室2厅 · 79平米 · 南,2019-03-27,248,31392
都市水乡,2室2厅 · 79平米 · 南北,2019-03-26,228,28861
都市水乡,2室2厅 · 97平米 · 南,2019-03-23,285,29381
都市水乡,2室2厅 · 69平米 · 南北,2019-03-21,222,32174
都市水乡,2室2厅 · 92平米 · 南,2019-03-20,275,29891
都市水乡,2室2厅 · 81平米 · 南北,2019-03-17,180,22222
都市水乡,3室2厅 · 96平米 · 南,2019-03-14,290,30208
都市水乡,3室2厅 · 89平米 · 南北,2019-03-09,255,28652
都市水乡,2室2厅 · 82平米 · 南北,2019-03-06,239,29146
都市水乡,2室2厅 · 88平米 · 南北,2019-03-05,251,28523
都市水乡,3室1厅 · 79平米 · 南,2019-03-01,215,27215
都市水乡,2室2厅 · 80平米 · 南,2019-02-23,240,30000
都市水乡,2室2厅 · 77平米 · 南,2019-02-21,243,31558
都市水乡,2室2厅 · 68平米 · 南,2019-02-20,217,31912
都市水乡,2室2厅 · 94平米 · 南北,2019-01-23,220,23404
都市水乡,2室2厅 · 92平米 · 南,2019-01-21,200,21739
都市水乡,3室2厅 · 85平米 · 南,2019-01-17,281,33153
都市水乡,2室2厅 · 91平米 · 南北,2019-01-15,268,29451
都市水乡,2室2厅 · 80平米 · 南,2019-01-10,237,29625
都市水乡,2室2厅 · 60平米 · 南北,2019-01-06,186,31000
都市水乡,2室2厅 · 94平米 · 南北,2018-12-30,260,27660
都市水乡,2室2厅 · 80平米 · 南,2018-12-30,244,30500
都市水乡,2室2厅 · 69平米 · 南北,2018-12-30,230,33333
都市水乡,3室2厅 · 103平米 · 南北,2018-12-29,299,29029
都市水乡,2室2厅 · 82平米 · 南,2018-12-28,242,29512
都市水乡,2室2厅 · 79平米 · 南,2018-12-27,232,29367
都市水乡,3室2厅 · 102平米 · 南北,2018-12-24,253,24804
都市水乡,2室2厅 · 92平米 · 南北,2018-12-24,267,29109
都市水乡,2室2厅 · 91平米 · 南,2018-12-23,255,28022
都市水乡,2室2厅 · 69平米 · 南,2018-12-21,219,31855
都市水乡,3室2厅 · 100平米 · 南北,2018-12-19,256,25600
都市水乡,3室1厅 · 79平米 · 南,2018-12-15,218,27595
都市水乡,2室2厅 · 68平米 · 南,2018-12-12,202,29706
都市水乡,3室2厅 · 95平米 · 南北,2018-11-29,261,27537
都市水乡,3室2厅 · 86平米 · 南,2018-11-25,218,25349
都市水乡,2室2厅 · 67平米 · 南,2018-11-11,214,31940
都市水乡,3室2厅 · 117平米 · 南,2018-11-07,321,27436
都市水乡,3室2厅 · 91平米 · 南北,2018-11-06,283,31099
都市水乡,2室2厅 · 80平米 · 南北,2018-11-06,215,26875
都市水乡,2室2厅 · 80平米 · 南北,2018-10-29,243,30375
都市水乡,2室2厅 · 95平米 · 南北,2018-10-17,282,29758
都市水乡,2室2厅 · 95平米 · 南北,2018-10-15,265,27895
都市水乡,2室2厅 · 79平米 · 南北,2018-10-07,245,31013
都市水乡,3室2厅 · 98平米 · 南,2018-09-29,294,30000
都市水乡,2室2厅 · 86平米 · 南北,2018-09-28,270,31395
都市水乡,2室2厅 · 70平米 · 南,2018-09-26,245,35000
都市水乡,2室1厅 · 69平米 · 南北,2018-09-26,214,31014
都市水乡,3室2厅 · 100平米 · 南,2018-09-22,297,29700
都市水乡,3室1厅 · 97平米 · 南,2018-09-17,281,29031
都市水乡,2室2厅 · 70平米 · 南北,2018-09-07,248,35429
都市水乡,2室2厅 · 80平米 · 南,2018-09-06,243,30375
都市水乡,3室1厅 · 91平米 · 南,2018-08-21,286,31429
都市水乡,2室2厅 · 95平米 · 南北,2018-08-18,275,28947
都市水乡,3室2厅 · 102平米 · 南北,2018-08-04,328,32157
都市水乡,3室1厅 · 88平米 · 南,2018-08-03,288,32727
都市水乡,2室2厅 · 80平米 · 南,2018-08-03,270,33750
都市水乡,3室2厅 · 100平米 · 南,2018-07-29,298,29850
都市水乡,3室2厅 · 97平米 · 南北,2018-07-29,310,31959
都市水乡,3室2厅 · 145平米 · 南北,2018-07-28,369,25448
都市水乡,3室1厅 · 94平米 · 南北,2018-07-27,311,33138
都市水乡,1室2厅 · 57平米 · 南,2018-07-21,220,38596
都市水乡,2室2厅 · 82平米 · 南北,2018-07-21,273,33293
都市水乡,3室2厅 · 102平米 · 南,2018-07-19,280,27451
都市水乡,3室2厅 · 85平米 · 南北,2018-07-16,260,30588
都市水乡,3室2厅 · 97平米 · 南,2018-07-13,299,30876
都市水乡,2室2厅 · 93平米 · 南北,2018-07-06,320,34409
都市水乡,2室2厅 · 97平米 · 南北,2018-06-30,295,30412
都市水乡,2室1厅 · 66平米 · 南北,2018-06-26,239,36212
都市水乡,2室2厅 · 86平米 · 南北,2018-06-23,280,32558
都市水乡,3室2厅 · 103平米 · 南北,2018-06-20,292,28350
都市水乡,2室2厅 · 85平米 · 南北,2018-06-19,269,31706
都市水乡,室厅 · 45平米 · 南,2018-06-18,148,33000
都市水乡,2室2厅 · 78平米 ·,2018-06-17,264,33846
都市水乡,3室2厅 · 108平米 · 南,2018-06-16,333,30833
都市水乡,2室2厅 · 70平米 · 南北,2018-06-14,258,36857
都市水乡,2室2厅 · 91平米 · 南,2018-06-12,289,31866
都市水乡,3室2厅 · 97平米 · 南,2018-06-09,290,29897
都市水乡,2室2厅 · 99平米 · 南,2018-06-09,288,29091
都市水乡,3室2厅 · 111平米 · 南北,2018-06-07,318,28649
都市水乡,2室2厅 · 86平米 · 南,2018-06-04,200,23256
都市水乡,3室2厅 · 70平米 · 南北,2018-05-31,260,37143
都市水乡,3室2厅 · 96平米 · 南,2018-05-29,304,31667
都市水乡,2室1厅 · 55平米 · 南北,2018-05-25,202,36727
都市水乡,2室2厅 · 99平米 · 南,2018-05-21,303,30687
都市水乡,2室2厅 · 100平米 · 南,2018-05-19,284,28400
都市水乡,2室2厅 · 79平米 · 南,2018-05-17,250,31646
都市水乡,1室2厅 · 60平米 ·,2018-05-17,201,33500
都市水乡,2室2厅 · 88平米 · 南,2018-05-17,287,32614
都市水乡,3室1厅 · 94平米 · 南,2018-05-15,275,29255
都市水乡,3室2厅 · 97平米 · 南,2018-05-09,300,30928
都市水乡,2室2厅 · 99平米 · 南,2018-05-08,250,25253
都市水乡,2室2厅 · 100平米 · 南,2018-05-07,304,30400
都市水乡,2室2厅 · 94平米 · 南北,2018-05-07,296,31489
都市水乡,2室2厅 · 91平米 · 南,2018-05-05,287,31538
都市水乡,2室2厅 · 91平米 · 南,2018-05-05,265,29121
都市水乡,2室2厅 · 79平米 · 南北,2018-05-05,282,35696
都市水乡,3室2厅 · 95平米 · 南北,2018-05-04,325,34263
都市水乡,2室1厅 · 60平米 · 南,2018-05-04,220,36667
都市水乡,2室2厅 · 85平米 · 南北,2018-04-25,275,32353
都市水乡,2室2厅 · 69平米 · 南,2018-04-23,246,35652
都市水乡,2室2厅 · 79平米 · 南北,2018-04-22,225,28481
都市水乡,2室2厅 · 95平米 · 南北,2018-04-20,250,26316
都市水乡,2室2厅 · 95平米 · 南,2018-04-19,278,29263
都市水乡,3室2厅 · 91平米 · 南北,2018-04-19,295,32418
都市水乡,2室2厅 · 95平米 · 南北,2018-04-12,292,30737
都市水乡,2室2厅 · 85平米 · 南北,2018-04-10,260,30588
都市水乡,2室2厅 · 77平米 · 南北,2018-04-09,275,35714
都市水乡,2室2厅 · 77平米 · 南,2018-03-31,255,33117
都市水乡,2室2厅 · 96平米 · 南北,2018-03-30,300,31250
都市水乡,3室2厅 · 91平米 · 南北,2018-03-28,280,30769
都市水乡,3室2厅 · 111平米 · 南北,2018-03-25,288,25946
都市水乡,2室2厅 · 69平米 · 南北,2018-03-23,243,35217
都市水乡,2室2厅 · 81平米 · 南,2018-03-19,265,32716
都市水乡,2室2厅 · 86平米 · 南北,2018-03-19,245,28488
都市水乡,2室2厅 · 85平米 · 南,2018-03-17,246,28941
都市水乡,3室2厅 · 102平米 · 南北,2018-03-17,320,31373
都市水乡,2室1厅 · 69平米 · 南,2018-03-16,239,34710
都市水乡,2室1厅 · 67平米 · 南北,2018-03-13,202,30149
都市水乡,2室2厅 · 70平米 · 南北,2018-03-12,247,35371
都市水乡,3室2厅 · 97平米 · 南,2018-03-04,283,29175
都市水乡,2室2厅 · 69平米 · 南北,2018-02-09,238,34493
都市水乡,2室2厅 · 93平米 · 南北,2018-02-07,266,28656
都市水乡,3室2厅 · 92平米 · 南北,2018-02-07,230,25000
都市水乡,3室2厅 · 85平米 · 南北,2018-02-03,278,32706
都市水乡,2室2厅 · 99平米 · 南北,2018-02-02,270,27273
都市水乡,2室2厅 · 95平米 · 南北,2018-01-29,279,29368
都市水乡,3室1厅 · 96平米 · 南北,2018-01-26,280,29167
都市水乡,3室2厅 · 110平米 · 南北,2018-01-21,311,28318
都市水乡,3室1厅 · 92平米 · 南北,2018-01-19,275,29891
红郡御庄,3室2厅 · 89平米 · 南北,2019-08-24,208,23371
红郡御庄,3室2厅 · 89平米 · 南北,2019-08-17,230,25843
红郡御庄,3室2厅 · 112平米 · 南北,2019-08-05,270,24107
红郡御庄,3室2厅 · 89平米 · 南,2019-07-18,224,25169
红郡御庄,3室2厅 · 89平米 · 南,2019-07-12,225,25281
红郡御庄,3室2厅 · 89平米 · 南,2019-07-04,225,25281
红郡御庄,3室2厅 · 89平米 · 南,2019-06-26,195,21910
红郡御庄,3室2厅 · 81平米 · 南北,2019-05-30,180,22222
红郡御庄,3室2厅 · 89平米 · 南,2019-05-13,220,24719
红郡御庄,3室2厅 · 90平米 · 南北,2019-05-09,228,25333
红郡御庄,3室2厅 · 89平米 · 南,2019-04-29,218,24494
红郡御庄,3室2厅 · 89平米 · 南,2019-04-25,218,24494
红郡御庄,3室2厅 · 112平米 · 南,2019-04-21,247,22087
红郡御庄,3室2厅 · 89平米 · 南,2019-04-18,209,23483
红郡御庄,2室2厅 · 81平米 · 南北,2019-04-16,180,22222
红郡御庄,3室2厅 · 88平米 · 南,2019-04-14,230,26136
红郡御庄,3室2厅 · 112平米 · 南北,2019-03-27,247,22087
红郡御庄,3室2厅 · 112平米 · 南北,2019-03-25,247,22087
红郡御庄,3室2厅 · 112平米 · 南北,2019-03-24,247,22087
红郡御庄,3室2厅 · 89平米 · 南,2019-03-23,205,23034
红郡御庄,3室2厅 · 86平米 · 南北,2019-03-22,191,22211
红郡御庄,3室2厅 · 86平米 · 南,2019-03-22,190,22103
红郡御庄,3室2厅 · 86平米 · 南,2019-03-21,191,22232
红郡御庄,3室2厅 · 86平米 · 南,2019-03-18,191,22232
红郡御庄,3室2厅 · 89平米 · 南,2019-03-07,239,26854
红郡御庄,3室2厅 · 89平米 · 南,2019-03-03,200,22472
红郡御庄,3室2厅 · 112平米 · 南,2019-03-01,247,22087
红郡御庄,3室2厅 · 89平米 · 南北,2019-01-24,196,22022
红郡御庄,3室2厅 · 112平米 · 南,2019-01-24,247,22087
红郡御庄,3室2厅 · 112平米 · 南北,2019-01-24,247,22087
红郡御庄,2室2厅 · 81平米 · 南,2019-01-23,194,23951
红郡御庄,3室2厅 · 88平米 · 南,2019-01-20,238,27045
红郡御庄,3室2厅 · 89平米 · 南北,2019-01-08,199,22360
红郡御庄,3室2厅 · 112平米 · 南,2018-12-27,247,22087
红郡御庄,3室2厅 · 88平米 · 南北,2018-12-18,230,26136
红郡御庄,3室2厅 · 112平米 · 南,2018-12-15,247,22087
红郡御庄,3室2厅 · 89平米 · 南北,2018-12-01,225,25281
红郡御庄,3室2厅 · 88平米 · 南北,2018-11-10,238,27045
红郡御庄,3室2厅 · 86平米 · 南北,2018-11-07,191,22211
红郡御庄,3室2厅 · 89平米 · 南,2018-11-06,208,23371
红郡御庄,3室2厅 · 86平米 · 南北,2018-11-04,191,22211
红郡御庄,3室2厅 · 112平米 · 南,2018-10-31,247,22087
红郡御庄,3室2厅 · 86平米 · 南,2018-10-30,191,22211
红郡御庄,3室2厅 · 86平米 · 南,2018-10-27,191,22211
红郡御庄,3室2厅 · 86平米 · 南北,2018-10-27,191,22211
红郡御庄,3室2厅 · 112平米 · 南,2018-10-26,247,22087
红郡御庄,3室2厅 · 112平米 · 南,2018-10-20,247,22087
红郡御庄,3室2厅 · 86平米 · 南,2018-10-19,191,22211
红郡御庄,3室2厅 · 112平米 · 南北,2018-10-19,247,22087
红郡御庄,3室2厅 · 86平米 · 南,2018-10-16,191,22211
红郡御庄,3室2厅 · 86平米 · 南,2018-10-16,191,22211
红郡御庄,3室2厅 · 86平米 · 南,2018-10-15,191,22211
红郡御庄,3室2厅 · 86平米 · 南,2018-10-13,191,22211
红郡御庄,3室2厅 · 86平米 · 南,2018-10-11,191,22211
红郡御庄,3室2厅 · 112平米 · 南,2018-10-11,246,22022
红郡御庄,3室2厅 · 86平米 · 南,2018-10-10,191,22211
红郡御庄,2室2厅 · 76平米 · 南北,2018-10-10,200,26316
红郡御庄,3室2厅 · 112平米 · 南,2018-10-08,247,22087
红郡御庄,3室2厅 · 86平米 · 南,2018-09-29,191,22211
红郡御庄,3室2厅 · 112平米 · 南北,2018-08-23,275,24580
红郡御庄,3室2厅 · 89平米 · 南,2018-06-28,225,25281
红郡御庄,2室2厅 · 74平米 · 南,2018-06-22,180,24324
红郡御庄,3室2厅 · 89平米 · 南,2018-06-14,237,26663
红郡御庄,3室2厅 · 98平米 · 南北,2018-06-14,284,28980
红郡御庄,3室2厅 · 89平米 · 南北,2018-06-11,255,28753
红郡御庄,2室2厅 · 82平米 · 南北,2018-05-31,214,26098
红郡御庄,2室2厅 · 73平米 · 南,2018-05-26,180,24658
红郡御庄,2室2厅 · 76平米 · 南,2018-05-25,192,25329
红郡御庄,3室2厅 · 89平米 · 南,2018-05-21,190,21348
红郡御庄,3室2厅 · 115平米 · 南北,2018-05-21,200,17391
红郡御庄,3室2厅 · 89平米 · 南北,2018-05-16,210,23596
红郡御庄,3室2厅 · 89平米 · 南北,2018-05-07,220,24719
红郡御庄,2室2厅 · 81平米 · 南,2018-04-26,210,25926
红郡御庄,3室2厅 · 116平米 · 南北,2018-04-25,265,22845
红郡御庄,3室2厅 · 89平米 · 南,2018-04-25,215,24157
红郡御庄,3室2厅 · 89平米 · 南北,2018-04-25,220,24719
红郡御庄,3室2厅 · 89平米 ·,2018-04-13,235,26404
红郡御庄,3室2厅 · 89平米 · 南北,2018-04-08,230,25843
红郡御庄,3室2厅 · 89平米 · 南北,2018-04-07,217,24382
红郡御庄,3室2厅 · 89平米 · 南,2018-03-27,200,22472
红郡御庄,3室2厅 · 89平米 · 南,2018-03-26,235,26404
红郡御庄,3室2厅 · 112平米 · 南北,2018-03-16,230,20536
红郡御庄,3室2厅 · 89平米 · 南北,2018-03-15,228,25618
红郡御庄,3室2厅 · 86平米 · 南北,2018-01-28,216,25116
红郡御庄,3室2厅 · 89平米 · 南,2018-01-24,180,20225
龙湖滟澜山,3室2厅 · 76平米 · 西,2019-08-20,293,38553
龙湖滟澜山,3室2厅 · 86平米 · 南北,2019-08-16,345,40128
龙湖滟澜山,2室2厅 · 59平米 · 西,2019-08-14,214,36390
龙湖滟澜山,3室2厅 · 127平米 · 南北,2019-08-13,400,31496
龙湖滟澜山,2室1厅 · 59平米 · 西,2019-08-12,214,36356
龙湖滟澜山,2室2厅 · 87平米 · 南北,2019-07-21,361,41552
龙湖滟澜山,2室2厅 · 89平米 · 南北,2019-07-20,333,37416
龙湖滟澜山,3室2厅 · 133平米 · 南北,2019-07-16,502,37744
龙湖滟澜山,3室2厅 · 86平米 · 南,2019-07-13,340,39535
龙湖滟澜山,2室1厅 · 59平米 · 西,2019-07-03,213,36186
龙湖滟澜山,2室2厅 · 77平米 · 南,2019-06-23,275,35714
龙湖滟澜山,3室2厅 · 85平米 · 南北,2019-05-29,305,35882
龙湖滟澜山,2室2厅 · 77平米 · 南,2019-05-26,275,35714
龙湖滟澜山,室厅 · 59平米 ·,2019-05-26,215,36441
龙湖滟澜山,2室2厅 · 87平米 · 西,2019-05-24,315,36207
龙湖滟澜山,3室2厅 · 76平米 · 西,2019-05-16,293,38553
龙湖滟澜山,2室2厅 · 59平米 · 西,2019-05-11,216,36610
龙湖滟澜山,2室2厅 · 81平米 · 东,2019-05-07,300,37037
龙湖滟澜山,3室2厅 · 87平米 · 南,2019-04-30,330,37931
龙湖滟澜山,3室2厅 · 133平米 · 南北,2019-04-23,539,40526
龙湖滟澜山,2室2厅 · 59平米 · 西,2019-04-10,208,35254
龙湖滟澜山,2室1厅 · 59平米 · 西,2019-04-06,205,34746
龙湖滟澜山,4室2厅 · 172平米 · 南,2019-03-18,550,31977
龙湖滟澜山,1室2厅 · 59平米 · 西,2019-03-09,210,35593
龙湖滟澜山,2室2厅 · 81平米 · 东,2019-03-06,305,37654
龙湖滟澜山,2室2厅 · 59平米 · 东北,2019-03-06,213,36237
龙湖滟澜山,2室1厅 · 59平米 · 西,2019-03-01,212,35932
龙湖滟澜山,1室2厅 · 59平米 · 西,2019-01-18,208,35254
龙湖滟澜山,2室1厅 · 59平米 · 西,2019-01-17,201,34068
龙湖滟澜山,3室2厅 · 85平米 · 南北,2019-01-11,360,42353
龙湖滟澜山,1室2厅 · 59平米 · 东北,2018-12-21,209,35508
龙湖滟澜山,2室1厅 · 59平米 · 东北,2018-11-24,200,33898
龙湖滟澜山,4室2厅 · 172平米 · 南北,2018-10-17,750,43605
龙湖滟澜山,2室2厅 · 59平米 · 西北,2018-09-18,235,39831
龙湖滟澜山,2室2厅 · 76平米 · 西,2018-09-06,277,36447
龙湖滟澜山,3室2厅 · 166平米 · 南北,2018-08-26,570,34337
龙湖滟澜山,2室2厅 · 77平米 · 南,2018-08-14,275,35714
龙湖滟澜山,2室1厅 · 59平米 · 西,2018-07-31,230,38983
龙湖滟澜山,2室1厅 · 87平米 · 南,2018-07-26,375,43103
龙湖滟澜山,2室1厅 · 60平米 · 西,2018-07-22,238,39767
龙湖滟澜山,1室2厅 · 59平米 · 西北,2018-07-14,236,40136
龙湖滟澜山,2室2厅 · 81平米 · 东,2018-07-05,333,41185
龙湖滟澜山,2室1厅 · 59平米 · 西南,2018-06-28,254,43136
龙湖滟澜山,2室2厅 · 81平米 · 西北,2018-06-24,300,37037
龙湖滟澜山,2室2厅 · 81平米 · 东,2018-06-23,288,35556
龙湖滟澜山,3室2厅 · 86平米 · 南北,2018-06-07,386,44884
龙湖滟澜山,3室1厅 · 87平米 · 南北,2018-06-04,316,36322
龙湖滟澜山,3室2厅 · 86平米 · 南,2018-05-27,305,35465
龙湖滟澜山,4室2厅 · 173平米 · 南,2018-05-23,700,40462
龙湖滟澜山,3室1厅 · 87平米 · 南,2018-05-20,347,39885
龙湖滟澜山,3室2厅 · 127平米 · 南北,2018-05-17,515,40551
龙湖滟澜山,3室2厅 · 127平米 · 南,2018-05-14,545,42913
龙湖滟澜山,2室1厅 · 59平米 · 西,2018-05-09,199,33729
龙湖滟澜山,3室2厅 · 133平米 · 南北,2018-05-04,448,33684
龙湖滟澜山,2室2厅 · 81平米 · 东,2018-04-15,292,36049
龙湖滟澜山,2室2厅 · 89平米 · 南,2018-04-12,323,36348
龙湖滟澜山,2室1厅 · 59平米 · 东,2018-04-01,195,33051
龙湖滟澜山,4室2厅 · 190平米 · 南北,2018-03-31,650,34211
龙湖滟澜山,室厅 · 77平米 ·,2018-03-25,272,35325
龙湖滟澜山,4室2厅 · 170平米 ·,2018-01-27,633,37235
